coluna0,conjunto0,conjunto1,conjunto2,conjunto3,conjunto4,conjunto5,conjunto6,conjunto7,conjunto8,conjunto9,conjunto10,conjunto11,conjunto12,conjunto13,conjunto14,conjunto15,conjunto16,conjunto17,conjunto18,conjunto19,conjunto20,conjunto21,conjunto22,conjunto23,conjunto24,conjunto25,conjunto26,conjunto27,conjunto28,conjunto29,conjunto30,conjunto31,conjunto32,conjunto33,conjunto34,conjunto35,conjunto36,conjunto37,conjunto38,conjunto39,conjunto40,conjunto41,conjunto42,conjunto43,conjunto44,conjunto45,conjunto46,conjunto47,conjunto48,conjunto49,conjunto50,conjunto51,conjunto52,conjunto53,conjunto54,conjunto55,conjunto56,conjunto57,conjunto58,conjunto59,conjunto60,conjunto61,conjunto62,conjunto63,conjunto64,conjunto65,conjunto66,conjunto67,conjunto68,conjunto69,conjunto70,conjunto71,conjunto72,conjunto73,conjunto74,conjunto75,conjunto76,conjunto77,conjunto78,conjunto79,conjunto80,conjunto81,conjunto82,conjunto83,conjunto84,conjunto85,conjunto86,conjunto87,conjunto88,conjunto89,conjunto90,conjunto91,conjunto92,conjunto93,conjunto94,conjunto95,conjunto96,conjunto97,conjunto98,conjunto99
0,"(0.05860222507968613, 0.03244802044518096, 0.001901526197518752)","(0.085570179538626, 0.07420014016954532, 0.006349319316099208)","(0.03587512786772862, 0.06563136723597522, 0.0023545336917244657)","(0.09971152553956909, 0.07825404649412039, 0.007802830355573113)","(0.08358439738063252, 0.012932526663351856, 0.001080957447765227)","(0.07313084933826369, 0.050929991015657816, 0.003724553499765195)","(0.08935565868309124, 0.02788492601012336, 0.0024916759309638365)","(0.08111489845179048, 0.03189058463093807, 0.002586801533906772)","(0.08003341053268992, 0.0723704734172569, 0.005792055809448444)","(0.05974164086314963, 0.05588683663704978, 0.003338771323348141)","(0.09225776372347963, 0.010247393163129018, 0.0009454015772255575)","(0.04543303282103146, 0.04572631236400817, 0.00207748505041872)","(0.05473708569635464, 0.06788243751030364, 0.003715686799278929)","(0.022876995549070446, 0.017473706983723764, 0.0003997459168924097)","(0.04180346802068118, 0.0041075098480502295, 0.00017170815657760078)","(0.050509891799443124, 0.04370922794513127, 0.0022077483741457763)","(0.03466913353711211, 0.005134591299935216, 0.00017801183143594809)","(0.07257349699473317, 0.059523665352638144, 0.004319840548585188)","(0.07763732525730321, 0.005055705854929289, 0.0003925114798643974)","(0.02745707050896161, 0.08986751654516872, 0.0024674987382459716)","(0.031014161307242202, 0.006805857164797861, 0.00021107795194309095)","(0.07918170593233705, 0.06675256347269272, 0.0052855818511244185)","(0.012679518550876154, 0.044516404494692734, 0.0005644465766087631)","(0.09498712548416438, 0.0031525455234289556, 0.0002994512372284869)","(0.08908502686478331, 0.00473139719322541, 0.000421496646066446)","(0.08394468009972948, 0.06868445159383713, 0.005765694316870012)","(0.06175059568710176, 0.05227528771681097, 0.003228030156227711)","(0.06488322593683025, 0.08121542788443263, 0.005269518956981987)","(0.026530753506593723, 0.011501951054737992, 0.00030515542827815934)","(0.011853743643292773, 0.0020036056664198484, 2.375022793198966e-05)","(0.07967405415284153, 0.06182310191529051, 0.004925697169895497)","(0.07083791077345589, 0.08845053550112074, 0.006265651141692783)","(0.026828710646151617, 0.07294835533263855, 0.0019571103173320107)","(0.06395294055386874, 0.06373712900096765, 0.004076176822073147)","(0.018914144556762335, 0.021303603167197066, 0.00040293942988426523)","(0.024354199649963805, 0.01937773836844806, 0.0004719293089899479)","(0.02167054783006115, 0.044364772038978616, 0.0009614089144404456)","(0.08240469315465879, 0.08098440352024384, 0.006673494922398763)","(0.014823946612794413, 0.010370378932785723, 0.00015372994365406346)","(0.050909660493748336, 0.02551675671063389, 0.001299049421039946)","(0.014829953355653642, 0.06288008400934571, 0.0009325087128581792)","(0.02862900567865114, 0.04781269927651018, 0.0013688300390988493)","(0.06504457584009503, 0.06896565303353339, 0.004485841649101342)","(0.06186873712748823, 0.0528905271327091, 0.003272270119707863)","(0.07800549084347465, 0.07713599831676883, 0.006017031410400987)","(0.07947123281923747, 0.015073960914065158, 0.0011979462573097578)","(0.022712118192181878, 0.048106538243509786, 0.0010926013824033118)","(0.09499005181419588, 0.030139098024169947, 0.002862914482949032)","(0.09130760909487559, 0.013226616673073802, 0.0012076907448327866)","(0.01362300128887797, 0.07983339442849106, 0.0010875704351948371)","(0.022131717347138848, 0.03785720460445583, 0.0008378449518586197)","(0.023708086240480257, 0.057397455801268114, 0.0013607838321206182)","(0.07460086979761739, 0.06550552893894543, 0.004886769435398326)","(0.09901706121287078, 0.047248877791183586, 0.0046784450244890755)","(0.02714738250867725, 0.0391623392708497, 0.0010631550041203493)","(0.09757100832409552, 0.054755361889252896, 0.005342535870685157)","(0.017155183276316415, 0.07524919391636126, 0.0012909137130302515)","(0.055963746142119374, 0.04649126266400529, 0.0026018252215549843)","(0.0464893652651345, 0.05517127678397822, 0.002564877638554199)","(0.07828408900176552, 0.07397672929924003, 0.005791200860521221)","(0.08200801811486665, 0.08241704975383565, 0.00675885890918642)","(0.011654520628225326, 0.08944018238717825, 0.0010423824506236045)","(0.029006110425516714, 0.06058322750751192, 0.0017572837870170924)","(0.05544786693908336, 0.012306533157671672, 0.0006823710130079962)","(0.02283664193974748, 0.001201074486801177, 2.7428507998044437e-05)","(0.08470950850994251, 0.0739956772263958, 0.006268137449708334)","(0.05681854947241423, 0.0021174852921317447, 0.00012031244282809704)","(0.08011625528227788, 0.05017683936035186, 0.004019980471451798)","(0.08311220494184753, 0.011889830742081223, 0.0009881900493597337)","(0.06517605332422476, 0.010531652960202236, 0.0006864115749263705)","(0.02424825231919056, 0.04394736121786189, 0.001065646703573325)","(0.050218565458395134, 0.07110078749856474, 0.003570579551140116)","(0.02183128278226043, 0.03013780937219344, 0.0006579470388422137)","(0.031847936435047006, 0.015197826500391469, 0.0004840194123353404)","(0.01978186809819241, 0.08522189110395036, 0.0016858482088968631)","(0.07133093903030568, 0.007790796537235943, 0.0005557248327950937)","(0.039084132165525205, 0.01153041259153485, 0.000450656169650584)","(0.03523842194738676, 0.06532020210393509, 0.002301780843427045)","(0.018616789863441147, 0.08750388237871218, 0.0016290413904797552)","(0.021202198198365666, 0.049294728739136276, 0.0010451566088618394)","(0.035760175183949736, 0.0192236860622747, 0.0006874423812681961)","(0.0636558940590512, 0.059174594927345114, 0.003766811745682349)","(0.08518560704946698, 0.06188434296235798, 0.005271655322105874)","(0.05446713577527067, 0.07142930569666064, 0.00389054969171333)","(0.016984523660813333, 0.011835606402950026, 0.00020102213699097848)","(0.016690093232885835, 0.01324234677144951, 0.00022101600223769707)","(0.0913515073045839, 0.07496553190956771, 0.0068482143358288925)","(0.06725814099373599, 0.023237215243806696, 0.001562891899169742)","(0.06817665173663147, 0.023067388781071656, 0.0015726573314006021)","(0.062488291934014756, 0.048154680151569436, 0.0030091037113003766)","(0.03327468607728807, 0.025014697945453718, 0.0008323562214531553)","(0.06952641988182559, 0.02230408247734349, 0.0015507230033986522)","(0.014305350599062988, 0.027743639450188838, 0.00039688248922894646)","(0.024317513892064734, 0.05846177121695963, 0.001421644933723126)","(0.0439013315834565, 0.04280128457637495, 0.0018790333863853191)","(0.01199483647990168, 0.025571354855535456, 0.0003067242200616876)","(0.07111200882007357, 0.07269329453621866, 0.005169366202219787)","(0.03857955137532329, 0.076093938153061, 0.0029356699963266897)","(0.04667909330487687, 0.038319742691722294, 0.0017887308445257786)","(0.08062729176295672, 0.009109322906057857, 0.0007344600357097116)"
0,"(0.09092372167724082, 0.04686424283446601, 0.004261071372095615)","(0.06972310195288679, 0.02873959560968493, 0.0020038137547788)","(0.018089904241136226, 0.07806564969002008, 0.0014122001274145491)","(0.0273889846155954, 0.06361782975209933, 0.0017424277603578157)","(0.05570565033438877, 0.0258416711834237, 0.0014395270990000511)","(0.021638219121034592, 0.06286159688035999, 0.0013602130075953739)","(0.03236468617658693, 0.03317761597966752, 0.001073783129269255)","(0.039698674597868557, 0.0781928292737573, 0.003104151685225582)","(0.023858506025656447, 0.05388637359477059, 0.0012856483691116086)","(0.012362043888854368, 0.01233612810655033, 0.0001524997570717051)","(0.03708678717533087, 0.07678310831586406, 0.0028476387967708286)","(0.07982259925772263, 0.08632702559236347, 0.0068908475689703945)","(0.06775951828781282, 0.0840718253774841, 0.00569666638915544)","(0.04532871858116964, 0.058334851737489514, 0.0026442440778829167)","(0.0122711065733422, 0.0202456025706475, 0.0002484359467859463)","(0.09911638514140077, 0.03448745900041127, 0.003418272268833032)","(0.028036158235034636, 0.03797018178704232, 0.0010645380247945486)","(0.023618422272845788, 0.0867265280458271, 0.0020483437616441477)","(0.08262227789389351, 0.03776615097143829, 0.0031203254205449107)","(0.07373715572348885, 0.0724812435356354, 0.005344560741619267)","(0.05678592435203194, 0.007748321524467869, 0.00043999559994365323)","(0.097329041387464, 0.07790717094339884, 0.007582630265130299)","(0.01761963681264694, 0.08343023821614282, 0.0014700104965610535)","(0.03013552059597007, 0.018409458637319666, 0.0005547786199256059)","(0.08321151720045787, 0.06812819916205096, 0.0056690508164092225)","(0.04683800113017896, 0.07200670223680358, 0.0033726500007478662)","(0.025323025815782857, 0.028865331313340164, 0.0007309575300288383)","(0.015353383045574827, 0.04410098988113077, 0.0006770993903340202)","(0.03292973683634818, 0.018023128647223254, 0.0005934968833207097)","(0.03896386702600009, 0.08933228553597561, 0.0034807312947524247)","(0.08452920990164044, 0.08603146753096053, 0.007272171977070726)","(0.04029112959313848, 0.05449441438065827, 0.002195641511913291)","(0.09352445285241509, 0.004104066503936686, 0.0003838305742506026)","(0.046835697839353437, 0.03934513312826701, 0.0018427567666446487)","(0.060563353179604575, 0.02908446847197936, 0.0017614529361095603)","(0.029370138054086087, 0.010632811791597287, 0.0003122871502223267)","(0.0983225426809998, 0.04615844313136397, 0.004538415494872035)","(0.08276245574984942, 0.031792861458733675, 0.002631255289639539)","(0.08263724069230535, 0.04659014074211281, 0.003850080674394358)","(0.04048311636720013, 0.048042786575386, 0.0019449217195359116)","(0.012427596495273297, 0.038844512671375564, 0.00048274392953538616)","(0.084664564979499, 0.004382355021758515, 0.00037103018150290754)","(0.03148782332605124, 0.03339080769365472, 0.0010514038533719523)","(0.08573870416951068, 0.044006984161622145, 0.0037731017964256633)","(0.03139457323495452, 0.0568286160272123, 0.001784110147707427)","(0.037244177868886605, 0.016007684330114513, 0.0005961930424597738)","(0.06576773092160823, 0.032292497086741166, 0.0021238042591876106)","(0.08707718314066427, 0.046843325748966075, 0.0040789848551605135)","(0.07958023241312208, 0.05723300030957101, 0.004554615466335949)","(0.026156692899982487, 0.06725105543080948, 0.0017590652041033828)","(0.08929884511361416, 0.07570570356484976, 0.006760431896854707)","(0.05020529265028861, 0.032765890219346935, 0.0016450211074095422)","(0.08054483168779293, 0.06429654533386994, 0.005178754422023102)","(0.027048998161377867, 0.03305586730289164, 0.0008941280938986666)","(0.057738967512123644, 0.08807306911228045, 0.005085248076166981)","(0.07196851913606359, 0.0020750962602248285, 0.00014934160491316455)","(0.05095910257490124, 0.03366783142256297, 0.0017156824749368696)","(0.07001697473671302, 0.026978337337566834, 0.0018889415638029387)","(0.09135947557868183, 0.04763806621995021, 0.004352188747437169)","(0.07015936521721422, 0.0746196723401781, 0.005235268844103413)","(0.07026254566129757, 0.013925003079152752, 0.0009784061646826794)","(0.09370364484707762, 0.04752788745390253, 0.004453536286312359)","(0.09412561488388461, 0.08679582144635224, 0.008169710062989765)","(0.06595506020523328, 0.04411278620996769, 0.0029094614702990036)","(0.09160883135191525, 0.037059683366649034, 0.00339499428349073)","(0.03939366922997005, 0.08784155091824782, 0.0034604010015210265)","(0.05138712301906284, 0.024204247532285793, 0.0012437866455254183)","(0.041046195965711046, 0.06669334918835752, 0.0027375082803949187)","(0.08562936222189453, 0.03210128094145387, 0.0027488122135225527)","(0.09829775492543259, 0.08541053255365667, 0.008395663597010026)","(0.04176532261167293, 0.012505991668523113, 0.0005223167766147616)","(0.025755231437883358, 0.086263089688734, 0.0022217258394802335)","(0.03261699729951432, 0.04871486762367049, 0.001588932705727458)","(0.03888725469012889, 0.05525483977778463, 0.0021487090273009757)","(0.049170386405671555, 0.020344248826202827, 0.001000334575917523)","(0.02511462325064482, 0.00705822460463859, 0.00017726465176392967)","(0.06838656446117991, 0.019720090096344487, 0.0013485892125539379)","(0.05764765879669791, 0.035277707579693666, 0.002033677249683864)","(0.015059811031380104, 0.031563913270181945, 0.0004753465692598109)","(0.09198046134219141, 0.029250299059348565, 0.0026904560018759485)","(0.07725522735753652, 0.08457430234329383, 0.0065338069561361985)","(0.0839719031410087, 0.0789500409611208, 0.006629585192565905)","(0.06915093220114975, 0.08691797991034607, 0.006010459335841237)","(0.055791849234290036, 0.059485576306329724, 0.0033188103048976034)","(0.07333443453979155, 0.055912673590658546, 0.004100324301378881)","(0.04198380539863531, 0.03190685155360402, 0.0013395710465096558)","(0.024167748193973923, 0.01022978583262988, 0.0002472308880812808)","(0.08415404309672526, 0.010628691360090172, 0.0008944473507788198)","(0.08851742438423739, 0.06222266395478642, 0.0055077899516036205)","(0.08507018837151911, 0.005878191099427494, 0.0005000588241120839)","(0.08541851277549642, 0.08810777180965522, 0.0075260348319435575)","(0.032686702710084885, 0.01855647135398365, 0.0006065498624958699)","(0.02794265017155801, 0.0082877149285216, 0.00023158071896927797)","(0.01865699239701297, 0.00986166589221621, 0.00018398902557295992)","(0.03534462413498183, 0.08309706001530666, 0.0029370343529630414)","(0.06598656480997607, 0.016790209561326576, 0.001107928251391556)","(0.03036831818382834, 0.030639296218681347, 0.0009304638964974836)","(0.012295882347045475, 0.07035529121945472, 0.0008650803833265368)","(0.016837612332211642, 0.002181617640200328, 3.67332320828075e-05)","(0.063329556980539, 0.055541259635411705, 0.0035174033668517166)"
0,"(0.09726287635184766, 0.013048581768717402, 0.0012691425951377342)",,,,"(0.08222502255220811, 0.0707195468890334, 0.0058149163378327096)",,"(0.06704018595493573, 0.05242437651147597, 0.0035145399499009137)",,,"(0.08347216177963115, 0.07607982531255986, 0.006350547486656074)","(0.06981360103359426, 0.0701605127386246, 0.004898158044646745)",,,"(0.08865070369297906, 0.04691497371074087, 0.004159045433194791)","(0.07879393657464538, 0.08204716779498428, 0.006464819335367278)","(0.045543626772295474, 0.00652903848241784, 0.00029735609182519255)","(0.037235133578345195, 0.03454806725451821, 0.001286401899095639)",,"(0.0438114680442166, 0.023573771779016903, 0.0010328015489780543)",,"(0.04172611591696564, 0.008067448023332613, 0.00033662327137567197)",,,"(0.09207945315816408, 0.046660270679084015, 0.004296452208341974)","(0.08424351327151383, 0.05751990279489352, 0.004845678694477797)",,"(0.09665228505900832, 0.006628865353068839, 0.0006406949837225932)",,"(0.01364543014472077, 0.01627728779558334, 0.0002221105935601484)","(0.0886665823686269, 0.08667982158696537, 0.007685603540438549)",,,"(0.0971034718286952, 0.08483826434634904, 0.008238090011951102)",,"(0.02905670519199805, 0.06517680443456474, 0.0018938231918116588)","(0.07847136125166615, 0.05664595587844307, 0.004445085267183248)","(0.0770002284548169, 0.07113677058791139, 0.005477547586807076)",,"(0.07231993898559205, 0.08444054545628164, 0.0061067350953084)","(0.01459325674645655, 0.022106846926948035, 0.00032261089305956665)",,"(0.020276899509262113, 0.08868760400775283, 0.0017983096341824358)",,"(0.07961191762913197, 0.013939269606414943, 0.0011097319837161694)",,"(0.04470247146819715, 0.04540910094497293, 0.0020298990393891364)","(0.0785874513168455, 0.005549083697702723, 0.0004360883449463137)","(0.09725011143277457, 0.06951802076875672, 0.006760635266347528)","(0.012075480923191035, 0.08191955372748336, 0.0009892180082725483)",,,"(0.04694826488531819, 0.030678910332333685, 0.001440321608675327)",,"(0.07152869133127322, 0.08167217889750608, 0.005841904074712239)",,"(0.06449044605346868, 0.016721786695429147, 0.0010783954827991837)",,"(0.012074910498690751, 0.012176065979253359, 0.00014702490692563766)",,,"(0.0931593845445733, 0.053370659475509785, 0.004971977789476491)",,,"(0.0888088528510217, 0.0023938317934994336, 0.0002125934554989886)","(0.07160502953941941, 0.07598919739707634, 0.005441208724294424)",,"(0.07133296933636213, 0.05386559818295926, 0.0038423930634698365)",,"(0.08168384390114289, 0.051760464054920595, 0.004227993666112852)","(0.05384650172347297, 0.04728540148775323, 0.0025461534527054155)","(0.051020124120295975, 0.07911250174687344, 0.004036329658592615)",,"(0.07416795113381117, 0.08229924958907028, 0.006103966721871494)","(0.09449507984548926, 0.07479344060249758, 0.007067612141651867)",,"(0.051502703659571394, 0.014993155186879752, 0.0007721880285118337)","(0.07800646694660988, 0.033762397044786695, 0.0026336853091124724)",,,"(0.06191761963215916, 0.057524913844472295, 0.003561805734794762)",,,,,"(0.02650350632741255, 0.02867499648094094, 0.0007599879506711509)","(0.052929957358201135, 0.021174176634521386, 0.0011207482663602357)","(0.09444020680278885, 0.055895186936645164, 0.005278753013577311)","(0.030829501974299102, 0.020132386505602503, 0.000620671449521825)","(0.034170452485791605, 0.04986184302868502, 0.0017038017380656809)","(0.020228579505925236, 0.031721143980530664, 0.0006416736830290662)",,"(0.01801601015331119, 0.06890965660794861, 0.0012414770731099896)","(0.09921743247434836, 0.037186820105736776, 0.0036895808127766785)","(0.09746668354374731, 0.058374165685009076, 0.005689536333951053)",,"(0.07911161933720752, 0.042195942885663, 0.0033381893711451212)",,,"(0.09871547535573819, 0.07437372480162978, 0.007341837597769739)","(0.0888159452608958, 0.01072291050633339, 0.0009523654325679909)"
0,"(0.09028273791513314, 0.039206156812056116, 0.003539639180122474)",,,,,,,,,,,,,,,"(0.0441982885039564, 0.06556593315067526, 0.002897902029424664)","(0.018888135696693016, 0.07046248881773723, 0.001330905050316135)",,"(0.06929492026989438, 0.0027073123507209687, 0.00018760299348890986)",,"(0.02385910651654574, 0.03630468401881512, 0.0008661973230544459)",,,"(0.07140914369947683, 0.04037085341068811, 0.0028828480724743416)",,,"(0.09659190080974356, 0.026401472837460305, 0.0025501684455471046)",,"(0.09300771693612885, 0.025997188799418335, 0.0024179391769914)",,,,,,,"(0.016336159561239995, 0.06318843020705932, 0.0010322562782867982)",,,,"(0.03252364653062025, 0.05741006116894713, 0.0018671845367601238)",,,,,,"(0.02964327179213405, 0.0789020687699547, 0.002338915469509419)","(0.03953702772680079, 0.01749246599287406, 0.0006916001129703815)",,,,,,,,,"(0.0842690427691412, 0.038765119354623935, 0.0032666995008456675)",,"(0.0603306175624896, 0.0579345099967799, 0.0034952247662859586)",,,,,,"(0.03130116895679849, 0.027503076007874244, 0.0008608784289541426)",,,"(0.05878448538465512, 0.06262992513650564, 0.00368166791882896)",,"(0.09297652451379049, 0.07751558068221011, 0.0072071292875002125)",,,,,,,"(0.05957158332554717, 0.0434680211182611, 0.002589458842043135)","(0.07571438661020273, 0.058636490952940434, 0.004439625945476587)",,,,,,,,"(0.010167325064933735, 0.029530838291929817, 0.000300249632354043)","(0.07153362087083552, 0.006120854001430431, 0.00043784684954406095)",,"(0.06169890145565242, 0.018224535680406447, 0.0011244338310204187)",,"(0.04999141568481204, 0.04979650278611297, 0.0024893976704304746)",,,"(0.08400590656391164, 0.04851240212465809, 0.004075328320074937)",,,"(0.08832633082146304, 0.013924141392934162, 0.00122986831907713)",,,,"(0.056508054073514294, 0.07474740183731457, 0.004223830224877673)"
0,,,,,,,,,,,,,,,,,,,"(0.014887659795741463, 0.06400604873936235, 0.0009529002785012734)",,"(0.047790721233211875, 0.026780022952004084, 0.0012798366115182429)",,,,,,,,"(0.020300889740306173, 0.005988614154946086, 0.00012157419565679732)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.024023511606301604, 0.0451228857897527, 0.0010840101704799458)",,,,,,,,,,,,"(0.053714518787070335, 0.0736302597734969, 0.003955013971900368)",,,,,,,,,,"(0.010899685776347433, 0.04428270569960135, 0.00048266757745212425)",,"(0.04075783962579542, 0.009247830199414456, 0.00037692158015432205)",,,,,,,,"(0.06907586298577587, 0.08136223774131687, 0.005620166786435326)",,,,
0,,,,,,,,,,,,,,,,,,,,,"(0.023807228252915147, 0.0632465696873676, 0.0015057255207610646)",,,,,,,,"(0.011524839970504673, 0.07904339761855601, 0.0009109625082788283)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.04169716577027497, 0.0557011120793035, 0.0023225785039593834)",,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
